tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,B,tissue_resident,NL→CR,NL,CR,0.077007,0.087695,13.9,↑,0.904762,NS,8/18,6,3,1.0
Liver,B,tissue_resident,IT→IA,IT,IA,0.098477,0.089185,-9.4,↓,0.690476,NS,15/25,5,5,0.8706001739130435
Liver,B,tissue_resident,IA→AR,IA,AR,0.089185,0.082126,-7.9,↓,1.0,NS,8/15,5,3,1.0
Liver,B,tissue_resident,CR→AR,CR,AR,0.087695,0.082126,-6.4,↓,1.0,NS,5/9,3,3,1.0
Liver,PlasmaB,tissue_resident,NL→IT,NL,IT,0.021098,0.032348,53.3,↑,0.926596,NS,13/30,6,5,1.0
Liver,PlasmaB,tissue_resident,NL→IA,NL,IA,0.021098,0.032793,55.4,↑,0.782252,NS,16/30,6,5,0.9189612800000001
Liver,PlasmaB,tissue_resident,NL→AR,NL,AR,0.021098,0.007011,-66.8,↓,0.614962,NS,8/12,6,2,0.7767855416666667
Liver,PlasmaB,tissue_resident,NL→CR,NL,CR,0.021098,0.023932,13.4,↑,1.0,NS,8/18,6,3,1.0
Liver,PlasmaB,tissue_resident,IT→IA,IT,IA,0.032348,0.032793,1.4,↑,0.916563,NS,11/25,5,5,1.0
Liver,PlasmaB,tissue_resident,IA→AR,IA,AR,0.032793,0.007011,-78.6,↓,0.380952,NS,8/10,5,2,0.849816
Liver,PlasmaB,tissue_resident,CR→AR,CR,AR,0.023932,0.007011,-70.7,↓,0.8,NS,4/6,3,2,1.0
Liver,Myeloid,treg,NL→IT,NL,IT,0.0,0.002301,99999.0,↑,0.048406,*,18/30,6,5,0.22653557142857142
Liver,Myeloid,treg,NL→IA,NL,IA,0.0,0.001279,99999.0,↑,0.36131,NS,6/30,6,5,0.914657238095238
Liver,Myeloid,treg,NL→AR,NL,AR,0.0,0.0,0.0,↑,1.0,NS,0/18,6,3,1.0
Liver,Myeloid,treg,NL→CR,NL,CR,0.0,0.0,0.0,↑,1.0,NS,0/18,6,3,1.0
Liver,Myeloid,treg,IT→IA,IT,IA,0.002301,0.001279,-44.4,↓,0.346522,NS,13/25,5,5,0.871315357142857
Liver,Myeloid,treg,IA→AR,IA,AR,0.001279,0.0,-100.0,↓,0.605577,NS,3/15,5,3,0.836273
Liver,Myeloid,treg,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3,1.0
Liver,CD4_T,treg,NL→IT,NL,IT,0.042411,0.04445,4.8,↑,1.0,NS,18/36,6,6,1.0
Liver,CD4_T,treg,NL→IA,NL,IA,0.042411,0.04712,11.1,↑,0.536797,NS,19/30,6,5,0.77835565
Liver,CD4_T,treg,NL→AR,NL,AR,0.042411,0.0432,1.9,↑,0.904762,NS,8/18,6,3,0.9370749285714285
Liver,CD4_T,treg,NL→CR,NL,CR,0.042411,0.032663,-23.0,↓,0.380952,NS,13/18,6,3,0.8358395263157895
Liver,CD4_T,treg,IT→IA,IT,IA,0.04445,0.04712,6.0,↑,0.662338,NS,18/30,6,5,0.9189612800000001
Liver,CD4_T,treg,IA→AR,IA,AR,0.04712,0.0432,-8.3,↓,0.785714,NS,9/15,5,3,0.9114282400000001
Liver,CD4_T,treg,CR→AR,CR,AR,0.032663,0.0432,32.3,↑,0.4,NS,7/9,3,3,1.0
Liver,CD8_T,treg,NL→IT,NL,IT,0.022567,0.025081,11.1,↑,0.699134,NS,15/36,6,6,0.8109954400000001
Liver,CD8_T,treg,NL→IA,NL,IA,0.022567,0.020806,-7.8,↓,0.930736,NS,14/30,6,5,1.0
Liver,CD8_T,treg,NL→AR,NL,AR,0.022567,0.017305,-23.3,↓,0.380952,NS,13/18,6,3,0.5260765714285714
Liver,CD8_T,treg,NL→CR,NL,CR,0.022567,0.012259,-45.7,↓,0.02381,*,18/18,6,3,0.2761902
Liver,CD8_T,treg,IT→IA,IT,IA,0.025081,0.020806,-17.0,↓,1.0,NS,15/30,6,5,1.0
Liver,CD8_T,treg,IA→AR,IA,AR,0.020806,0.017305,-16.8,↓,0.392857,NS,11/15,5,3,0.8285720499999999
Liver,CD8_T,treg,CR→AR,CR,AR,0.012259,0.017305,41.2,↑,0.4,NS,7/9,3,3,1.0
Liver,NK,treg,NL→IT,NL,IT,0.017452,0.0184,5.4,↑,0.930736,NS,16/30,6,5,0.930736
Liver,NK,treg,NL→IA,NL,IA,0.017452,0.021556,23.5,↑,0.536797,NS,19/30,6,5,0.9996794074074075
Liver,NK,treg,NL→AR,NL,AR,0.017452,0.015612,-10.5,↓,0.714286,NS,11/18,6,3,1.0
Liver,NK,treg,NL→CR,NL,CR,0.017452,0.021478,23.1,↑,0.714286,NS,11/18,6,3,0.9006214782608695
Liver,NK,treg,IT→IA,IT,IA,0.0184,0.021556,17.2,↑,0.84127,NS,14/25,5,5,1.0
Liver,NK,treg,IA→AR,IA,AR,0.021556,0.015612,-27.6,↓,0.785714,NS,9/15,5,3,0.9494044166666668
Liver,NK,treg,CR→AR,CR,AR,0.021478,0.015612,-27.3,↓,0.7,NS,6/9,3,3,1.0
Liver,B,treg,NL→IT,NL,IT,0.006598,0.047418,618.6,↑,0.080042,†,25/30,6,5,0.7281378000000001
Liver,B,treg,NL→IA,NL,IA,0.006598,0.012982,96.7,↑,0.575062,NS,17/30,6,5,0.9603900999999999
Liver,B,treg,NL→AR,NL,AR,0.006598,0.006164,-6.6,↓,1.0,NS,6/18,6,3,1.0
Liver,B,treg,NL→CR,NL,CR,0.006598,0.011696,77.3,↑,0.237302,NS,14/18,6,3,0.7365072
Liver,B,treg,IT→IA,IT,IA,0.047418,0.012982,-72.6,↓,0.309524,NS,18/25,5,5,0.7480163333333334
Liver,B,treg,IA→AR,IA,AR,0.012982,0.006164,-52.5,↓,0.541193,NS,9/15,5,3,0.920635611111111
Liver,B,treg,CR→AR,CR,AR,0.011696,0.006164,-47.3,↓,0.657905,NS,6/9,3,3,1.0
Liver,PlasmaB,treg,NL→IT,NL,IT,0.00246,0.013495,448.6,↑,0.597048,NS,12/30,6,5,0.8244948571428572
Liver,PlasmaB,treg,NL→IA,NL,IA,0.00246,0.013655,455.1,↑,0.907569,NS,6/30,6,5,0.930736
Liver,PlasmaB,treg,NL→AR,NL,AR,0.00246,0.0,-100.0,↓,0.512691,NS,4/12,6,2,0.7767855416666667
Liver,PlasmaB,treg,NL→CR,NL,CR,0.00246,0.01271,416.7,↑,0.878088,NS,6/18,6,3,0.9717814074074074
Liver,PlasmaB,treg,IT→IA,IT,IA,0.013495,0.013655,1.2,↑,0.79717,NS,5/25,5,5,1.0
Liver,PlasmaB,treg,IA→AR,IA,AR,0.013655,0.0,-100.0,↓,0.75183,NS,2/10,5,2,0.9560441153846153
Liver,PlasmaB,treg,CR→AR,CR,AR,0.01271,0.0,-100.0,↓,0.683091,NS,2/6,3,2,1.0
Liver,Myeloid,type1_ifn,NL→IT,NL,IT,0.096983,0.126633,30.6,↑,0.536797,NS,19/30,6,5,0.7114000740740741
Liver,Myeloid,type1_ifn,NL→IA,NL,IA,0.096983,0.112089,15.6,↑,1.0,NS,15/30,6,5,1.0
Liver,Myeloid,type1_ifn,NL→AR,NL,AR,0.096983,0.149296,53.9,↑,0.380952,NS,13/18,6,3,0.6498592941176471
Liver,Myeloid,type1_ifn,NL→CR,NL,CR,0.096983,0.107463,10.8,↑,0.547619,NS,12/18,6,3,1.0
Liver,Myeloid,type1_ifn,IT→IA,IT,IA,0.126633,0.112089,-11.5,↓,0.547619,NS,16/25,5,5,0.9341735882352942
Liver,Myeloid,type1_ifn,IA→AR,IA,AR,0.112089,0.149296,33.2,↑,0.392857,NS,11/15,5,3,0.7595235333333333
Liver,Myeloid,type1_ifn,CR→AR,CR,AR,0.107463,0.149296,38.9,↑,0.4,NS,7/9,3,3,1.0
Liver,CD4_T,type1_ifn,NL→IT,NL,IT,0.076137,0.085427,12.2,↑,0.588745,NS,22/36,6,6,0.8986107894736842
Liver,CD4_T,type1_ifn,NL→IA,NL,IA,0.076137,0.085132,11.8,↑,0.662338,NS,18/30,6,5,0.8730819090909091
Liver,CD4_T,type1_ifn,NL→AR,NL,AR,0.076137,0.08819,15.8,↑,0.547619,NS,12/18,6,3,0.7562357619047618
Liver,CD4_T,type1_ifn,NL→CR,NL,CR,0.076137,0.088682,16.5,↑,0.547619,NS,12/18,6,3,0.8358395263157895
Liver,CD4_T,type1_ifn,IT→IA,IT,IA,0.085427,0.085132,-0.3,↓,1.0,NS,15/30,6,5,1.0
Liver,CD4_T,type1_ifn,IA→AR,IA,AR,0.085132,0.08819,3.6,↑,1.0,NS,8/15,5,3,1.0
Liver,CD4_T,type1_ifn,CR→AR,CR,AR,0.088682,0.08819,-0.6,↓,1.0,NS,4/9,3,3,1.0
Liver,CD8_T,type1_ifn,NL→IT,NL,IT,0.076579,0.091367,19.3,↑,0.309524,NS,25/36,6,6,0.6411568571428572
Liver,CD8_T,type1_ifn,NL→IA,NL,IA,0.076579,0.086389,12.8,↑,0.536797,NS,19/30,6,5,0.9157125294117647
Liver,CD8_T,type1_ifn,NL→AR,NL,AR,0.076579,0.089889,17.4,↑,0.714286,NS,11/18,6,3,0.82857176
Liver,CD8_T,type1_ifn,NL→CR,NL,CR,0.076579,0.085849,12.1,↑,0.714286,NS,11/18,6,3,0.82857176
Liver,CD8_T,type1_ifn,IT→IA,IT,IA,0.091367,0.086389,-5.4,↓,0.792208,NS,17/30,6,5,0.9572513333333333
Liver,CD8_T,type1_ifn,IA→AR,IA,AR,0.086389,0.089889,4.1,↑,1.0,NS,7/15,5,3,1.0
Liver,CD8_T,type1_ifn,CR→AR,CR,AR,0.085849,0.089889,4.7,↑,1.0,NS,5/9,3,3,1.0
Liver,NK,type1_ifn,NL→IT,NL,IT,0.068853,0.078052,13.4,↑,0.536797,NS,19/30,6,5,0.8003250833333333
Liver,NK,type1_ifn,NL→IA,NL,IA,0.068853,0.068113,-1.1,↓,0.662338,NS,12/30,6,5,0.9996794074074075
Liver,NK,type1_ifn,NL→AR,NL,AR,0.068853,0.065688,-4.6,↓,0.714286,NS,11/18,6,3,1.0
Liver,NK,type1_ifn,NL→CR,NL,CR,0.068853,0.069059,0.3,↑,1.0,NS,9/18,6,3,1.0
Liver,NK,type1_ifn,IT→IA,IT,IA,0.078052,0.068113,-12.7,↓,0.547619,NS,16/25,5,5,0.9925594375
Liver,NK,type1_ifn,IA→AR,IA,AR,0.068113,0.065688,-3.6,↓,1.0,NS,8/15,5,3,1.0
Liver,NK,type1_ifn,CR→AR,CR,AR,0.069059,0.065688,-4.9,↓,0.7,NS,6/9,3,3,1.0
Liver,B,type1_ifn,NL→IT,NL,IT,0.057185,0.068467,19.7,↑,0.536797,NS,19/30,6,5,0.9996794074074075
Liver,B,type1_ifn,NL→IA,NL,IA,0.057185,0.081904,43.2,↑,0.051948,†,26/30,6,5,0.7532460000000001
Liver,B,type1_ifn,NL→AR,NL,AR,0.057185,0.072554,26.9,↑,0.380952,NS,13/18,6,3,1.0
Liver,B,type1_ifn,NL→CR,NL,CR,0.057185,0.090216,57.8,↑,0.095238,†,16/18,6,3,0.7365072
Liver,B,type1_ifn,IT→IA,IT,IA,0.068467,0.081904,19.6,↑,1.0,NS,13/25,5,5,1.0
Liver,B,type1_ifn,IA→AR,IA,AR,0.081904,0.072554,-11.4,↓,1.0,NS,8/15,5,3,1.0
Liver,B,type1_ifn,CR→AR,CR,AR,0.090216,0.072554,-19.6,↓,0.4,NS,7/9,3,3,1.0
Liver,PlasmaB,type1_ifn,NL→IT,NL,IT,0.102879,0.166938,62.3,↑,0.177489,NS,23/30,6,5,0.6433976250000001
Liver,PlasmaB,type1_ifn,NL→IA,NL,IA,0.102879,0.162385,57.8,↑,0.082251,†,25/30,6,5,0.7155836999999999
Liver,PlasmaB,type1_ifn,NL→AR,NL,AR,0.102879,0.191678,86.3,↑,0.285714,NS,10/12,6,2,0.6904755
Liver,PlasmaB,type1_ifn,NL→CR,NL,CR,0.102879,0.160175,55.7,↑,0.166667,NS,15/18,6,3,0.6904768181818182
Liver,PlasmaB,type1_ifn,IT→IA,IT,IA,0.166938,0.162385,-2.7,↓,0.84127,NS,14/25,5,5,1.0
Liver,PlasmaB,type1_ifn,IA→AR,IA,AR,0.162385,0.191678,18.0,↑,0.571429,NS,7/10,5,2,0.8721811052631578
Liver,PlasmaB,type1_ifn,CR→AR,CR,AR,0.160175,0.191678,19.7,↑,0.8,NS,4/6,3,2,1.0
Blood,Myeloid,angiogenesis,NL→IT,NL,IT,0.019629,0.013594,-30.7,↓,0.190476,NS,16/20,4,5,0.34523775
Blood,Myeloid,angiogenesis,NL→IA,NL,IA,0.019629,0.016056,-18.2,↓,0.485714,NS,11/16,4,4,0.8285709411764707
Blood,Myeloid,angiogenesis,NL→AR,NL,AR,0.019629,0.013056,-33.5,↓,0.228571,NS,10/12,4,3,0.6025962727272728
Blood,Myeloid,angiogenesis,NL→CR,NL,CR,0.019629,0.022704,15.7,↑,0.857143,NS,7/12,4,3,0.9560441153846153
Blood,Myeloid,angiogenesis,IT→IA,IT,IA,0.013594,0.016056,18.1,↑,0.904762,NS,11/20,5,4,1.0
Blood,Myeloid,angiogenesis,IA→AR,IA,AR,0.016056,0.013056,-18.7,↓,1.0,NS,6/12,4,3,1.0
Blood,Myeloid,angiogenesis,CR→AR,CR,AR,0.022704,0.013056,-42.5,↓,0.4,NS,7/9,3,3,0.7250000000000001
Blood,CD4_T,angiogenesis,NL→IT,NL,IT,0.011598,0.00698,-39.8,↓,0.007937,**,25/25,5,5,0.23015850000000002
Blood,CD4_T,angiogenesis,NL→IA,NL,IA,0.011598,0.008556,-26.2,↓,0.190476,NS,16/20,5,4,0.8479538947368422
Blood,CD4_T,angiogenesis,NL→AR,NL,AR,0.011598,0.007225,-37.7,↓,0.035714,*,15/15,5,3,0.517853
Blood,CD4_T,angiogenesis,NL→CR,NL,CR,0.011598,0.010686,-7.9,↓,0.785714,NS,9/15,5,3,0.9494044166666668
Blood,CD4_T,angiogenesis,IT→IA,IT,IA,0.00698,0.008556,22.6,↑,0.111111,NS,17/20,5,4,0.7891148571428571
Blood,CD4_T,angiogenesis,IA→AR,IA,AR,0.008556,0.007225,-15.6,↓,0.4,NS,9/12,4,3,0.9206350740740741
Blood,CD4_T,angiogenesis,CR→AR,CR,AR,0.010686,0.007225,-32.4,↓,0.4,NS,7/9,3,3,0.8285714285714286
Blood,CD8_T,angiogenesis,NL→IT,NL,IT,0.006139,0.005402,-12.0,↓,0.690476,NS,15/25,5,5,0.9101729090909091
Blood,CD8_T,angiogenesis,NL→IA,NL,IA,0.006139,0.008143,32.7,↑,0.412698,NS,14/20,5,4,0.8950624444444445
Blood,CD8_T,angiogenesis,NL→AR,NL,AR,0.006139,0.004582,-25.4,↓,0.392857,NS,11/15,5,3,0.8763733076923077
Blood,CD8_T,angiogenesis,NL→CR,NL,CR,0.006139,0.008911,45.2,↑,0.25,NS,12/15,5,3,0.6590909090909092
Blood,CD8_T,angiogenesis,IT→IA,IT,IA,0.005402,0.008143,50.7,↑,0.190476,NS,16/20,5,4,0.613756
Blood,CD8_T,angiogenesis,IA→AR,IA,AR,0.008143,0.004582,-43.7,↓,0.057143,†,12/12,4,3,0.9666666666666668
Blood,CD8_T,angiogenesis,CR→AR,CR,AR,0.008911,0.004582,-48.6,↓,0.1,NS,9/9,3,3,0.32222222222222224
Blood,NK,angiogenesis,NL→IT,NL,IT,0.00644,0.005362,-16.7,↓,0.547619,NS,16/25,5,5,0.6617062916666666
Blood,NK,angiogenesis,NL→IA,NL,IA,0.00644,0.006417,-0.4,↓,0.730159,NS,12/20,5,4,0.7562361071428572
Blood,NK,angiogenesis,NL→AR,NL,AR,0.00644,0.004076,-36.7,↓,0.035714,*,15/15,5,3,0.12946325
Blood,NK,angiogenesis,NL→CR,NL,CR,0.00644,0.006554,1.8,↑,0.571429,NS,5/15,5,3,0.8285720499999999
Blood,NK,angiogenesis,IT→IA,IT,IA,0.005362,0.006417,19.7,↑,0.730159,NS,12/20,5,4,0.8822754583333333
Blood,NK,angiogenesis,IA→AR,IA,AR,0.006417,0.004076,-36.5,↓,0.057143,†,12/12,4,3,0.41428675
Blood,NK,angiogenesis,CR→AR,CR,AR,0.006554,0.004076,-37.8,↓,0.1,NS,9/9,3,3,0.4142857142857143
Blood,B,angiogenesis,NL→IT,NL,IT,0.007482,0.011573,54.7,↑,0.294802,NS,18/25,5,5,0.5610122500000001
Blood,B,angiogenesis,NL→IA,NL,IA,0.007482,0.012308,64.5,↑,0.176098,NS,16/20,5,4,0.34523775
Blood,B,angiogenesis,NL→AR,NL,AR,0.007482,0.007987,6.7,↑,0.548595,NS,10/15,5,3,0.8373292105263159
Blood,B,angiogenesis,NL→CR,NL,CR,0.007482,0.019717,163.5,↑,0.230243,NS,12/15,5,3,0.453125
Blood,B,angiogenesis,IT→IA,IT,IA,0.011573,0.012308,6.3,↑,1.0,NS,10/20,5,4,1.0
Blood,B,angiogenesis,IA→AR,IA,AR,0.012308,0.007987,-35.1,↓,0.628571,NS,8/12,4,3,0.7925460434782609
Blood,B,angiogenesis,CR→AR,CR,AR,0.019717,0.007987,-59.5,↓,0.2,NS,8/9,3,3,0.4142857142857143
Blood,PlasmaB,angiogenesis,NL→IT,NL,IT,0.006096,0.007988,31.0,↑,0.332112,NS,16/25,5,5,0.687825052631579
Blood,PlasmaB,angiogenesis,NL→IA,NL,IA,0.006096,0.005463,-10.4,↓,0.608874,NS,6/20,5,4,0.8408260000000001
Blood,PlasmaB,angiogenesis,NL→AR,NL,AR,0.006096,0.002925,-52.0,↓,0.873807,NS,5/15,5,3,1.0
Blood,PlasmaB,angiogenesis,NL→CR,NL,CR,0.006096,0.014395,136.1,↑,0.12663,NS,13/15,5,3,0.46031700000000003
Blood,PlasmaB,angiogenesis,IT→IA,IT,IA,0.007988,0.005463,-31.6,↓,0.622753,NS,12/20,5,4,1.0
Blood,PlasmaB,angiogenesis,IA→AR,IA,AR,0.005463,0.002925,-46.5,↓,0.721277,NS,7/12,4,3,0.8045012692307691
Blood,PlasmaB,angiogenesis,CR→AR,CR,AR,0.014395,0.002925,-79.7,↓,0.2,NS,8/9,3,3,0.4142857142857143
Blood,Myeloid,antigen_presentation,NL→IT,NL,IT,0.449766,0.658316,46.4,↑,0.015873,*,20/20,4,5,0.06575957142857143
Blood,Myeloid,antigen_presentation,NL→IA,NL,IA,0.449766,0.634267,41.0,↑,0.028571,*,16/16,4,4,0.13809316666666666
Blood,Myeloid,antigen_presentation,NL→AR,NL,AR,0.449766,0.653038,45.2,↑,0.057143,†,12/12,4,3,0.3314294
Blood,Myeloid,antigen_presentation,NL→CR,NL,CR,0.449766,0.610735,35.8,↑,0.057143,†,12/12,4,3,0.2367352857142857
Blood,Myeloid,antigen_presentation,IT→IA,IT,IA,0.658316,0.634267,-3.7,↓,0.904762,NS,11/20,5,4,1.0
Blood,Myeloid,antigen_presentation,IA→AR,IA,AR,0.634267,0.653038,3.0,↑,0.857143,NS,7/12,4,3,1.0
Blood,Myeloid,antigen_presentation,CR→AR,CR,AR,0.610735,0.653038,6.9,↑,0.1,NS,9/9,3,3,0.4142857142857143
Blood,CD4_T,antigen_presentation,NL→IT,NL,IT,0.286534,0.243236,-15.1,↓,0.420635,NS,17/25,5,5,0.7175538235294118
Blood,CD4_T,antigen_presentation,NL→IA,NL,IA,0.286534,0.279758,-2.4,↓,1.0,NS,10/20,5,4,1.0
Blood,CD4_T,antigen_presentation,NL→AR,NL,AR,0.286534,0.24435,-14.7,↓,0.785714,NS,6/15,5,3,0.8763733076923077
Blood,CD4_T,antigen_presentation,NL→CR,NL,CR,0.286534,0.268991,-6.1,↓,0.785714,NS,6/15,5,3,0.9494044166666668
Blood,CD4_T,antigen_presentation,IT→IA,IT,IA,0.243236,0.279758,15.0,↑,0.555556,NS,13/20,5,4,0.9717814074074074
Blood,CD4_T,antigen_presentation,IA→AR,IA,AR,0.279758,0.24435,-12.7,↓,0.4,NS,9/12,4,3,0.9206350740740741
Blood,CD4_T,antigen_presentation,CR→AR,CR,AR,0.268991,0.24435,-9.2,↓,0.1,NS,9/9,3,3,0.4833333333333334
Blood,CD8_T,antigen_presentation,NL→IT,NL,IT,0.352817,0.29177,-17.3,↓,0.84127,NS,14/25,5,5,0.9758732
Blood,CD8_T,antigen_presentation,NL→IA,NL,IA,0.352817,0.36228,2.7,↑,0.904762,NS,11/20,5,4,0.9717814074074074
Blood,CD8_T,antigen_presentation,NL→AR,NL,AR,0.352817,0.333208,-5.6,↓,1.0,NS,8/15,5,3,1.0
Blood,CD8_T,antigen_presentation,NL→CR,NL,CR,0.352817,0.326808,-7.4,↓,1.0,NS,7/15,5,3,1.0
Blood,CD8_T,antigen_presentation,IT→IA,IT,IA,0.29177,0.36228,24.2,↑,0.412698,NS,14/20,5,4,0.7978828
Blood,CD8_T,antigen_presentation,IA→AR,IA,AR,0.36228,0.333208,-8.0,↓,0.857143,NS,7/12,4,3,1.0
Blood,CD8_T,antigen_presentation,CR→AR,CR,AR,0.326808,0.333208,2.0,↑,0.7,NS,3/9,3,3,0.7
Blood,NK,antigen_presentation,NL→IT,NL,IT,0.352281,0.351965,-0.1,↓,0.84127,NS,11/25,5,5,0.84127
Blood,NK,antigen_presentation,NL→IA,NL,IA,0.352281,0.355974,1.0,↑,0.730159,NS,12/20,5,4,0.7562361071428572
Blood,NK,antigen_presentation,NL→AR,NL,AR,0.352281,0.363462,3.2,↑,0.785714,NS,9/15,5,3,0.8439150370370371
Blood,NK,antigen_presentation,NL→CR,NL,CR,0.352281,0.376945,7.0,↑,0.785714,NS,9/15,5,3,0.8439150370370371
Blood,NK,antigen_presentation,IT→IA,IT,IA,0.351965,0.355974,1.1,↑,0.555556,NS,13/20,5,4,0.7323238181818182
Blood,NK,antigen_presentation,IA→AR,IA,AR,0.355974,0.363462,2.1,↑,0.628571,NS,8/12,4,3,0.9593978421052631
Blood,NK,antigen_presentation,CR→AR,CR,AR,0.376945,0.363462,-3.6,↓,1.0,NS,5/9,3,3,1.0
Blood,B,antigen_presentation,NL→IT,NL,IT,0.720531,0.763067,5.9,↑,0.150794,NS,20/25,5,5,0.3975478181818182
Blood,B,antigen_presentation,NL→IA,NL,IA,0.720531,0.766487,6.4,↑,0.190476,NS,16/20,5,4,0.34523775
Blood,B,antigen_presentation,NL→AR,NL,AR,0.720531,0.785036,9.0,↑,0.142857,NS,13/15,5,3,0.31868100000000005
Blood,B,antigen_presentation,NL→CR,NL,CR,0.720531,0.756635,5.0,↑,0.25,NS,12/15,5,3,0.453125
Blood,B,antigen_presentation,IT→IA,IT,IA,0.763067,0.766487,0.4,↑,0.730159,NS,12/20,5,4,1.0
Blood,B,antigen_presentation,IA→AR,IA,AR,0.766487,0.785036,2.4,↑,0.114286,NS,11/12,4,3,0.5523799166666666
Blood,B,antigen_presentation,CR→AR,CR,AR,0.756635,0.785036,3.8,↑,0.1,NS,9/9,3,3,0.2416666666666667
Blood,PlasmaB,antigen_presentation,NL→IT,NL,IT,0.377245,0.606947,60.9,↑,0.031746,*,23/25,5,5,0.34523775
Blood,PlasmaB,antigen_presentation,NL→IA,NL,IA,0.377245,0.564145,49.5,↑,0.063492,†,18/20,5,4,0.37737119999999996
Blood,PlasmaB,antigen_presentation,NL→AR,NL,AR,0.377245,0.428089,13.5,↑,0.785714,NS,9/15,5,3,1.0
Blood,PlasmaB,antigen_presentation,NL→CR,NL,CR,0.377245,0.583942,54.8,↑,0.035714,*,15/15,5,3,0.3457766666666667
Blood,PlasmaB,antigen_presentation,IT→IA,IT,IA,0.606947,0.564145,-7.1,↓,0.285714,NS,15/20,5,4,0.9936334444444445
Blood,PlasmaB,antigen_presentation,IA→AR,IA,AR,0.564145,0.428089,-24.1,↓,0.114286,NS,11/12,4,3,0.30129945454545454
Blood,PlasmaB,antigen_presentation,CR→AR,CR,AR,0.583942,0.428089,-26.7,↓,0.1,NS,9/9,3,3,0.32222222222222224
Blood,Myeloid,apoptosis,NL→IT,NL,IT,0.058721,0.06086,3.6,↑,0.904762,NS,11/20,4,5,0.9370749285714285
Blood,Myeloid,apoptosis,NL→IA,NL,IA,0.058721,0.059429,1.2,↑,1.0,NS,8/16,4,4,1.0
Blood,Myeloid,apoptosis,NL→AR,NL,AR,0.058721,0.062474,6.4,↑,0.628571,NS,8/12,4,3,0.8285708636363637
Blood,Myeloid,apoptosis,NL→CR,NL,CR,0.058721,0.081024,38.0,↑,0.114286,NS,11/12,4,3,0.30129945454545454
Blood,Myeloid,apoptosis,IT→IA,IT,IA,0.06086,0.059429,-2.4,↓,1.0,NS,10/20,5,4,1.0
Blood,Myeloid,apoptosis,IA→AR,IA,AR,0.059429,0.062474,5.1,↑,1.0,NS,6/12,4,3,1.0
Blood,Myeloid,apoptosis,CR→AR,CR,AR,0.081024,0.062474,-22.9,↓,0.4,NS,7/9,3,3,0.7250000000000001
Blood,CD4_T,apoptosis,NL→IT,NL,IT,0.096155,0.08356,-13.1,↓,0.547619,NS,16/25,5,5,0.8358395263157895
Blood,CD4_T,apoptosis,NL→IA,NL,IA,0.096155,0.095618,-0.6,↓,0.555556,NS,7/20,5,4,0.8479538947368422
Blood,CD4_T,apoptosis,NL→AR,NL,AR,0.096155,0.083445,-13.2,↓,0.392857,NS,11/15,5,3,0.6329362777777777
Blood,CD4_T,apoptosis,NL→CR,NL,CR,0.096155,0.112348,16.8,↑,0.25,NS,12/15,5,3,0.5576923076923077
Blood,CD4_T,apoptosis,IT→IA,IT,IA,0.08356,0.095618,14.4,↑,0.111111,NS,17/20,5,4,0.7891148571428571
Blood,CD4_T,apoptosis,IA→AR,IA,AR,0.095618,0.083445,-12.7,↓,0.228571,NS,10/12,4,3,0.9206350740740741
Blood,CD4_T,apoptosis,CR→AR,CR,AR,0.112348,0.083445,-25.7,↓,0.1,NS,9/9,3,3,0.4833333333333334
Blood,CD8_T,apoptosis,NL→IT,NL,IT,0.106574,0.085822,-19.5,↓,0.222222,NS,19/25,5,5,0.6444438
Blood,CD8_T,apoptosis,NL→IA,NL,IA,0.106574,0.093668,-12.1,↓,0.555556,NS,13/20,5,4,0.8950624444444445
Blood,CD8_T,apoptosis,NL→AR,NL,AR,0.106574,0.089999,-15.6,↓,0.392857,NS,11/15,5,3,0.8763733076923077
Blood,CD8_T,apoptosis,NL→CR,NL,CR,0.106574,0.117797,10.5,↑,0.25,NS,12/15,5,3,0.6590909090909092
Blood,CD8_T,apoptosis,IT→IA,IT,IA,0.085822,0.093668,9.1,↑,0.555556,NS,13/20,5,4,0.9477131764705884
Blood,CD8_T,apoptosis,IA→AR,IA,AR,0.093668,0.089999,-3.9,↓,0.857143,NS,7/12,4,3,1.0
Blood,CD8_T,apoptosis,CR→AR,CR,AR,0.117797,0.089999,-23.6,↓,0.1,NS,9/9,3,3,0.32222222222222224
Blood,NK,apoptosis,NL→IT,NL,IT,0.086463,0.088263,2.1,↑,0.547619,NS,16/25,5,5,0.6617062916666666
Blood,NK,apoptosis,NL→IA,NL,IA,0.086463,0.091108,5.4,↑,0.412698,NS,14/20,5,4,0.6649023333333334
Blood,NK,apoptosis,NL→AR,NL,AR,0.086463,0.094515,9.3,↑,0.392857,NS,11/15,5,3,0.6701678235294118
Blood,NK,apoptosis,NL→CR,NL,CR,0.086463,0.117424,35.8,↑,0.142857,NS,13/15,5,3,0.34523775
Blood,NK,apoptosis,IT→IA,IT,IA,0.088263,0.091108,3.2,↑,0.285714,NS,15/20,5,4,0.43608978947368426
Blood,NK,apoptosis,IA→AR,IA,AR,0.091108,0.094515,3.7,↑,0.857143,NS,5/12,4,3,0.9942858800000001
